2021/7/2	10:15:1	24.60 C_deg	79.60 %	345.82 ppm
2021/7/2	10:30:0	24.50 C_deg	79.80 %	461.09 ppm
2021/7/2	10:45:4	24.50 C_deg	79.70 %	499.51 ppm
2021/7/2	11:0:3	24.50 C_deg	79.60 %	512.32 ppm
2021/7/2	11:15:2	24.50 C_deg	79.30 %	516.58 ppm
2021/7/2	11:30:1	24.50 C_deg	79.00 %	518.00 ppm
2021/7/2	11:45:0	24.50 C_deg	78.80 %	518.46 ppm
2021/7/2	12:0:4	24.50 C_deg	78.60 %	518.62 ppm
2021/7/2	12:15:3	24.60 C_deg	78.50 %	518.71 ppm
2021/7/2	12:30:2	24.60 C_deg	81.00 %	518.69 ppm
2021/7/2	12:45:1	24.60 C_deg	81.10 %	518.71 ppm
2021/7/2	13:0:0	24.70 C_deg	81.40 %	518.71 ppm
2021/7/2	13:15:4	24.70 C_deg	80.50 %	518.72 ppm
2021/7/2	13:30:3	24.80 C_deg	80.50 %	518.72 ppm
2021/7/2	13:45:2	24.80 C_deg	80.40 %	518.71 ppm
2021/7/2	14:0:1	24.80 C_deg	80.10 %	518.73 ppm
2021/7/2	14:15:0	24.80 C_deg	79.90 %	518.73 ppm
2021/7/2	14:30:4	24.80 C_deg	79.50 %	518.73 ppm
2021/7/2	14:45:3	24.80 C_deg	79.70 %	518.74 ppm
2021/7/2	15:0:2	24.90 C_deg	79.80 %	518.72 ppm
2021/7/2	15:15:1	24.90 C_deg	79.70 %	518.71 ppm
2021/7/2	15:30:1	24.90 C_deg	79.60 %	518.72 ppm
2021/7/2	15:45:4	24.90 C_deg	79.70 %	518.72 ppm
2021/7/2	16:0:3	24.90 C_deg	79.50 %	518.72 ppm
2021/7/2	16:15:3	24.90 C_deg	79.40 %	518.72 ppm
2021/7/2	16:30:2	24.90 C_deg	79.20 %	518.70 ppm
2021/7/2	16:45:1	24.90 C_deg	78.80 %	518.73 ppm
2021/7/2	17:0:1	25.00 C_deg	78.60 %	518.71 ppm
2021/7/2	17:15:4	25.00 C_deg	78.50 %	518.73 ppm
2021/7/2	17:30:3	25.00 C_deg	78.40 %	518.74 ppm
2021/7/2	17:45:3	25.00 C_deg	78.20 %	518.72 ppm
2021/7/2	18:0:2	25.00 C_deg	78.10 %	518.72 ppm
2021/7/2	18:15:1	25.00 C_deg	78.00 %	518.72 ppm
2021/7/2	18:30:1	25.10 C_deg	78.00 %	518.72 ppm
2021/7/2	18:45:4	25.10 C_deg	77.80 %	518.72 ppm
2021/7/2	19:0:4	25.10 C_deg	77.80 %	518.71 ppm
2021/7/2	19:15:3	25.10 C_deg	77.90 %	518.72 ppm
2021/7/2	19:30:2	25.00 C_deg	77.80 %	518.73 ppm
2021/7/2	19:45:2	25.00 C_deg	78.50 %	518.72 ppm
2021/7/2	20:0:1	25.10 C_deg	79.20 %	518.72 ppm
2021/7/2	20:15:0	25.10 C_deg	79.60 %	518.72 ppm
2021/7/2	20:30:4	25.10 C_deg	79.20 %	518.73 ppm
2021/7/2	20:45:3	25.10 C_deg	79.30 %	518.72 ppm
2021/7/2	21:0:2	25.10 C_deg	79.20 %	518.72 ppm
2021/7/2	21:15:2	25.10 C_deg	79.20 %	518.71 ppm
2021/7/2	21:30:1	25.00 C_deg	79.10 %	518.73 ppm
2021/7/2	21:45:0	25.00 C_deg	79.00 %	518.72 ppm
2021/7/2	22:0:4	24.90 C_deg	79.20 %	518.73 ppm
2021/7/2	22:15:3	24.90 C_deg	79.30 %	518.71 ppm
2021/7/2	22:30:2	24.80 C_deg	79.30 %	518.71 ppm
2021/7/2	22:45:1	24.80 C_deg	79.50 %	518.73 ppm
2021/7/2	23:0:0	24.70 C_deg	79.60 %	518.74 ppm
2021/7/2	23:15:4	24.70 C_deg	79.50 %	518.71 ppm
2021/7/2	23:30:3	24.60 C_deg	79.50 %	518.72 ppm
2021/7/2	23:45:2	24.70 C_deg	79.90 %	518.75 ppm
2021/7/3	0:0:1	24.70 C_deg	80.10 %	518.74 ppm
2021/7/3	0:15:0	24.80 C_deg	80.10 %	518.72 ppm
2021/7/3	0:30:4	24.80 C_deg	80.10 %	518.72 ppm
2021/7/3	0:45:3	24.70 C_deg	80.10 %	518.72 ppm
2021/7/3	1:0:2	24.70 C_deg	79.80 %	518.72 ppm
2021/7/3	1:15:1	24.70 C_deg	80.50 %	518.74 ppm
2021/7/3	1:30:0	24.70 C_deg	80.50 %	518.74 ppm
2021/7/3	1:45:4	24.70 C_deg	80.60 %	518.72 ppm
2021/7/3	2:0:3	24.70 C_deg	80.50 %	518.73 ppm
2021/7/3	2:15:2	24.70 C_deg	80.30 %	518.71 ppm
2021/7/3	2:30:1	24.70 C_deg	79.90 %	518.73 ppm
2021/7/3	2:45:0	24.60 C_deg	79.90 %	518.74 ppm
2021/7/3	3:0:4	24.60 C_deg	80.00 %	518.72 ppm
2021/7/3	3:15:3	24.50 C_deg	80.60 %	518.73 ppm
2021/7/3	3:30:2	24.50 C_deg	80.70 %	518.72 ppm
2021/7/3	3:45:1	24.50 C_deg	80.50 %	518.72 ppm
2021/7/3	4:0:4	24.40 C_deg	80.40 %	518.72 ppm
